62
6.695, 0.047, 2.594, 0.358
7.280, 0.000
7.448, 0.000
2.929, 0.031
3.180, 0.031
7.364, 0.031
7.280, 0.047
5.858, 0.078
8.285, 0.078
5.607, 0.093
5.941, 0.109
5.523, 0.140
5.690, 0.140
5.941, 0.140
6.778, 0.140
3.849, 0.155
4.937, 0.155
4.603, 0.171
4.770, 0.171
4.854, 0.171
2.762, 0.187
2.929, 0.187
3.096, 0.187
3.264, 0.187
5.607, 0.187
2.929, 0.202
3.013, 0.202
4.603, 0.202
3.013, 0.218
3.682, 0.218
3.264, 0.233
2.678, 0.249
2.762, 0.249
2.845, 0.249
3.933, 0.249
4.017, 0.249
2.845, 0.264
7.280, 0.264
7.448, 0.264
7.866, 0.264
7.950, 0.264
7.029, 0.280
7.782, 0.295
8.117, 0.295
0.418, 0.311
2.929, 0.311
5.523, 0.311
5.607, 0.311
7.699, 0.311
8.033, 0.311
8.117, 0.311
0.418, 0.327
0.669, 0.327
2.510, 0.327
5.523, 0.327
5.774, 0.327
5.941, 0.327
0.335, 0.342
0.418, 0.342
0.502, 0.342
5.858, 0.342
5.941, 0.342
5.021, 0.451
